PROLIFIC_ID,Trust Tags - Consensus,Valence consensus
5ae3a41d32ef52000131a531,"Cog: data-accuracy,Cog: vis-clarity",Positive
5d49a0b751695e0001a188a8,"Cog: vis-clarity,Cog: data-accuracy",Positive
565b2be310593c000bff9695,"Cog: data-accuracy,Cog: vis-clarity",Positive
614fe09fec9ce4a2a415476d,"Cog: data-accuracy,Cog: vis-clarity",Positive
6100a94845f823a05d74deb3,"Cog: vis-clarity,Cog: data-accuracy",Positive
5bee108b6f2d54000198e0c6,"Cog: data-accuracy,Cog: vis-clarity",Neutral
5c5f8a910edbd90001e1feda,"Cog: vis-clarity,Cog: data-accuracy",Positive
5d10102523f6320017c63e07,"Cog: vis-clarity,Cog: data-accuracy",Positive
64033349ec5c1a27ee79d14b,"Cog: vis-clarity,Cog: data-accuracy",Positive
5f8b066742a6381ddae03d75,"Cog: vis-clarity,Cog: data-accuracy,Cog: vis-usability",Positive
62a76dfc808c176cecd72dfa,"Cog: vis-usability,Cog: data-accuracy",Positive
6016dca5fdf98587f9a0ca71,"Affective Trust - Vis,Cog: data-accuracy",Positive
63345f710321e08d1720919e,"Aff: data-cues,Cog: data-accuracy",Positive
6170afe6e3197de7542fd205,"Cog: data-accuracy,Aff: data-cues",Negative
5d60b5beea1c1c0001c98bf6,"Aff: data-cues,Cog: data-accuracy",Neutral
5c11f3face422b0001d69416,"Aff: data-cues,Cog: data-accuracy",Positive
63e548215b42b3f3aa069dc2,"Aff: data-cues,Cog: data-accuracy",Positive
5f490d10022f3f2e8f33cc9a,"Aff: data-cues,Cog: data-accuracy",Positive
5e16c978783225c8108ef055,"Cog: data-accuracy,Aff: data-cues",Positive
57a12661913c7100019767b7,"Aff: data-cues,Cog: data-accuracy",Positive
60160f7fe4c5e278be505f72,"Aff: data-cues,Cog: data-accuracy",Neutral
614149e12ad52d5ea08555e9,"Cog: data-accuracy,Aff: data-cues",Negative
60fe134bea0a58a6b9d96ee3,"Cog: data-accuracy,Aff: data-benevolence",Positive
5fb54678abd965015f4ae7b7,"Cog: data-accuracy,Aff: data-benevolence",Positive
5eecf1789af5910cfeb71b53,"Aff: vis-cues,Cog: data-accuracy",Positive
60838e2e91a6300001f9ac89,"Aff: vis-cues,Cog: data-accuracy",Positive
63d475b3b7f363ed16c745b0,"Aff: vis-cues,Cog: data-accuracy",Positive
61156cab775e1f9e2c3a4bfa,"Cog: data-accuracy,Aff: vis-cues",Positive
61366a0250ad37452b08b9a3,"Cog: data-accuracy,Aff: vis-cues",Positive
63e1dbd6e3b024508cfb12e9,"Aff: vis-benevolence,Cog: data-accuracy",Negative
5c55b95b91c0ad0001cf86ab,"Cog: data-accuracy,Aff: vis-benevolence",Positive
62ffe399d769a8e595609133,"Cog: data-accuracy,Prior Beliefs",Positive
