week_start,Years,SubmissionDate,State,State2,Week_Avg
2020-01-20,2020,24-Jan,AZ,Arizona,0
2020-01-20,2020,24-Jan,CA,California,0
2020-01-20,2020,24-Jan,CO,Colorado,0
2020-01-20,2020,24-Jan,CT,Connecticut,0
2020-01-20,2020,24-Jan,DE,Delaware,0
2020-01-20,2020,24-Jan,FL,Florida,0
2020-01-20,2020,24-Jan,GA,Georgia,0
2020-01-20,2020,24-Jan,HI,Hawaii,0
2020-01-20,2020,24-Jan,IA,Iowa,0
2020-01-20,2020,24-Jan,ID,Idaho,0
2020-01-20,2020,24-Jan,IL,Illinois,0.142857143
2020-01-20,2020,24-Jan,IN,Indiana,0
2020-01-20,2020,24-Jan,KS,Kansas,0
2020-01-20,2020,24-Jan,KY,Kentucky,0
2020-01-20,2020,24-Jan,LA,Louisiana,0
2020-01-20,2020,24-Jan,MA,Massachusetts,0
2020-01-20,2020,24-Jan,MD,Maryland,0
2020-01-20,2020,24-Jan,ME,Maine,0
2020-01-20,2020,24-Jan,MI,Michigan,0
2020-01-20,2020,24-Jan,MN,Minnesota,0
2020-01-20,2020,24-Jan,MO,Missouri,0
2020-01-20,2020,24-Jan,MS,Mississippi,0
2020-01-20,2020,24-Jan,MT,Montana,0
2020-01-20,2020,24-Jan,NC,North Carolina,0
2020-01-20,2020,24-Jan,ND,North Dakota,0
2020-01-20,2020,24-Jan,NE,Nebraska,0
2020-01-20,2020,24-Jan,NH,New Hampshire,0
2020-01-20,2020,24-Jan,NJ,New Jersey,0
2020-01-20,2020,24-Jan,NM,New Mexico,0
2020-01-20,2020,24-Jan,NV,Nevada,0
2020-01-20,2020,24-Jan,NY,New York,0
2020-01-20,2020,24-Jan,OH,Ohio,0
2020-01-20,2020,24-Jan,OK,Oklahoma,0
2020-01-20,2020,24-Jan,OR,Oregon,0
2020-01-20,2020,24-Jan,PA,Pennsylvania,0
2020-01-20,2020,24-Jan,RI,Rhode Island,0
2020-01-20,2020,24-Jan,SC,South Carolina,0
2020-01-20,2020,24-Jan,SD,South Dakota,0
2020-01-20,2020,24-Jan,State,State2,0
2020-01-20,2020,24-Jan,TN,Tennessee,0
2020-01-20,2020,24-Jan,TX,Texas,0
2020-01-20,2020,24-Jan,UT,Utah,0
2020-01-20,2020,24-Jan,VA,Virginia,0
2020-01-20,2020,24-Jan,VT,Vermont,0
2020-01-20,2020,24-Jan,WA,Washington,0
2020-01-20,2020,24-Jan,WI,Wisconsin,0
2020-01-20,2020,24-Jan,WV,West Virginia,0
2020-01-20,2020,24-Jan,WY,Wyoming,0
2020-01-20,2020,25-Jan,AK,Alaska,0
2020-01-20,2020,25-Jan,AL,Alabama,0
2020-01-20,2020,25-Jan,AR,Arkansas,0
2020-01-20,2020,25-Jan,AZ,Arizona,0
2020-01-20,2020,25-Jan,CA,California,0
2020-01-20,2020,25-Jan,CO,Colorado,0
2020-01-20,2020,25-Jan,CT,Connecticut,0
2020-01-20,2020,25-Jan,DE,Delaware,0
2020-01-20,2020,25-Jan,FL,Florida,0
2020-01-20,2020,25-Jan,GA,Georgia,0
2020-01-20,2020,25-Jan,HI,Hawaii,0
2020-01-20,2020,25-Jan,IA,Iowa,0
2020-01-20,2020,25-Jan,ID,Idaho,0
2020-01-20,2020,25-Jan,IL,Illinois,0
2020-01-20,2020,25-Jan,IN,Indiana,0
2020-01-20,2020,25-Jan,KS,Kansas,0
2020-01-20,2020,25-Jan,KY,Kentucky,0
2020-01-20,2020,25-Jan,LA,Louisiana,0
2020-01-20,2020,25-Jan,MA,Massachusetts,0
2020-01-20,2020,25-Jan,MD,Maryland,0
2020-01-20,2020,25-Jan,ME,Maine,0
2020-01-20,2020,25-Jan,MI,Michigan,0
2020-01-20,2020,25-Jan,MN,Minnesota,0
2020-01-20,2020,25-Jan,MO,Missouri,0
2020-01-20,2020,25-Jan,MS,Mississippi,0
2020-01-20,2020,25-Jan,MT,Montana,0
2020-01-20,2020,25-Jan,NC,North Carolina,0
2020-01-20,2020,25-Jan,ND,North Dakota,0
2020-01-20,2020,25-Jan,NE,Nebraska,0
2020-01-20,2020,25-Jan,NH,New Hampshire,0
2020-01-20,2020,25-Jan,NJ,New Jersey,0
2020-01-20,2020,25-Jan,NM,New Mexico,0
2020-01-20,2020,25-Jan,NV,Nevada,0
2020-01-20,2020,25-Jan,NY,New York,0
2020-01-20,2020,25-Jan,OH,Ohio,0
2020-01-20,2020,25-Jan,OK,Oklahoma,0
2020-01-20,2020,25-Jan,OR,Oregon,0
2020-01-20,2020,25-Jan,PA,Pennsylvania,0
2020-01-20,2020,25-Jan,RI,Rhode Island,0
2020-01-20,2020,25-Jan,SC,South Carolina,0
2020-01-20,2020,25-Jan,SD,South Dakota,0
2020-01-20,2020,25-Jan,State,State2,0
2020-01-20,2020,25-Jan,TN,Tennessee,0
2020-01-20,2020,25-Jan,TX,Texas,0
2020-01-20,2020,25-Jan,UT,Utah,0
2020-01-20,2020,25-Jan,VA,Virginia,0
2020-01-20,2020,25-Jan,VT,Vermont,0
2020-01-20,2020,25-Jan,WA,Washington,0
2020-01-20,2020,25-Jan,WI,Wisconsin,0
2020-01-20,2020,25-Jan,WV,West Virginia,0
2020-01-20,2020,25-Jan,WY,Wyoming,0
2020-01-20,2020,26-Jan,AK,Alaska,0
2020-01-20,2020,26-Jan,AL,Alabama,0
2020-01-20,2020,26-Jan,AR,Arkansas,0
2020-01-20,2020,26-Jan,AZ,Arizona,0.142857143
2020-01-20,2020,26-Jan,CA,California,0
2020-01-20,2020,26-Jan,CO,Colorado,0
2020-01-20,2020,26-Jan,CT,Connecticut,0
2020-01-20,2020,26-Jan,DE,Delaware,0
2020-01-20,2020,26-Jan,FL,Florida,0
2020-01-20,2020,26-Jan,GA,Georgia,0
2020-01-20,2020,26-Jan,HI,Hawaii,0
2020-01-20,2020,26-Jan,IA,Iowa,0
2020-01-20,2020,26-Jan,ID,Idaho,0
2020-01-20,2020,26-Jan,IL,Illinois,0
2020-01-20,2020,26-Jan,IN,Indiana,0
2020-01-20,2020,26-Jan,KS,Kansas,0
2020-01-20,2020,26-Jan,KY,Kentucky,0
2020-01-20,2020,26-Jan,LA,Louisiana,0
2020-01-20,2020,26-Jan,MA,Massachusetts,0
2020-01-20,2020,26-Jan,MD,Maryland,0
2020-01-20,2020,26-Jan,ME,Maine,0
2020-01-20,2020,26-Jan,MI,Michigan,0
2020-01-20,2020,26-Jan,MN,Minnesota,0
2020-01-20,2020,26-Jan,MO,Missouri,0
2020-01-20,2020,26-Jan,MS,Mississippi,0
2020-01-20,2020,26-Jan,MT,Montana,0
2020-01-20,2020,26-Jan,NC,North Carolina,0
2020-01-20,2020,26-Jan,ND,North Dakota,0
2020-01-20,2020,26-Jan,NE,Nebraska,0
2020-01-20,2020,26-Jan,NH,New Hampshire,0
2020-01-20,2020,26-Jan,NJ,New Jersey,0
2020-01-20,2020,26-Jan,NM,New Mexico,0
2020-01-20,2020,26-Jan,NV,Nevada,0
2020-01-20,2020,26-Jan,NY,New York,0
2020-01-20,2020,26-Jan,OH,Ohio,0
2020-01-20,2020,26-Jan,OK,Oklahoma,0
2020-01-20,2020,26-Jan,OR,Oregon,0
2020-01-20,2020,26-Jan,PA,Pennsylvania,0
2020-01-20,2020,26-Jan,RI,Rhode Island,0
2020-01-20,2020,26-Jan,SC,South Carolina,0
2020-01-20,2020,26-Jan,SD,South Dakota,0
2020-01-20,2020,26-Jan,State,State2,0
2020-01-20,2020,26-Jan,TN,Tennessee,0
2020-01-20,2020,26-Jan,TX,Texas,0
2020-01-20,2020,26-Jan,UT,Utah,0
2020-01-20,2020,26-Jan,VA,Virginia,0
2020-01-20,2020,26-Jan,VT,Vermont,0
2020-01-20,2020,26-Jan,WA,Washington,0
2020-01-20,2020,26-Jan,WI,Wisconsin,0
2020-01-20,2020,26-Jan,WV,West Virginia,0
2020-01-20,2020,26-Jan,WY,Wyoming,0
2020-01-27,2020,27-Jan,AK,Alaska,0
2020-01-27,2020,27-Jan,AL,Alabama,0
2020-01-27,2020,27-Jan,AR,Arkansas,0
2020-01-27,2020,27-Jan,AZ,Arizona,0
2020-01-27,2020,27-Jan,CA,California,0
2020-01-27,2020,27-Jan,CO,Colorado,0
2020-01-27,2020,27-Jan,CT,Connecticut,0
2020-01-27,2020,27-Jan,DE,Delaware,0
2020-01-27,2020,27-Jan,FL,Florida,0
2020-01-27,2020,27-Jan,GA,Georgia,0
2020-01-27,2020,27-Jan,HI,Hawaii,0
2020-01-27,2020,27-Jan,IA,Iowa,0
2020-01-27,2020,27-Jan,ID,Idaho,0
2020-01-27,2020,27-Jan,IL,Illinois,0
2020-01-27,2020,27-Jan,IN,Indiana,0
2020-01-27,2020,27-Jan,KS,Kansas,0
2020-01-27,2020,27-Jan,KY,Kentucky,0
2020-01-27,2020,27-Jan,LA,Louisiana,0
2020-01-27,2020,27-Jan,MA,Massachusetts,0
2020-01-27,2020,27-Jan,MD,Maryland,0
2020-01-27,2020,27-Jan,ME,Maine,0
2020-01-27,2020,27-Jan,MI,Michigan,0
2020-01-27,2020,27-Jan,MN,Minnesota,0
2020-01-27,2020,27-Jan,MO,Missouri,0
2020-01-27,2020,27-Jan,MS,Mississippi,0
2020-01-27,2020,27-Jan,MT,Montana,0
2020-01-27,2020,27-Jan,NC,North Carolina,0
2020-01-27,2020,27-Jan,ND,North Dakota,0
2020-01-27,2020,27-Jan,NE,Nebraska,0
2020-01-27,2020,27-Jan,NH,New Hampshire,0
2020-01-27,2020,27-Jan,NJ,New Jersey,0
2020-01-27,2020,27-Jan,NM,New Mexico,0
2020-01-27,2020,27-Jan,NV,Nevada,0
2020-01-27,2020,27-Jan,NY,New York,0
2020-01-27,2020,27-Jan,OH,Ohio,0
2020-01-27,2020,27-Jan,OK,Oklahoma,0
2020-01-27,2020,27-Jan,OR,Oregon,0
2020-01-27,2020,27-Jan,PA,Pennsylvania,0
2020-01-27,2020,27-Jan,RI,Rhode Island,0
2020-01-27,2020,27-Jan,SC,South Carolina,0
2020-01-27,2020,27-Jan,SD,South Dakota,0
2020-01-27,2020,27-Jan,State,State2,0
2020-01-27,2020,27-Jan,TN,Tennessee,0
2020-01-27,2020,27-Jan,TX,Texas,0
2020-01-27,2020,27-Jan,UT,Utah,0
2020-01-27,2020,27-Jan,VA,Virginia,0
2020-01-27,2020,27-Jan,VT,Vermont,0
2020-01-27,2020,27-Jan,WA,Washington,0
2020-01-27,2020,27-Jan,WI,Wisconsin,0
2020-01-27,2020,27-Jan,WV,West Virginia,0
2020-01-27,2020,27-Jan,WY,Wyoming,0
2020-01-27,2020,28-Jan,AK,Alaska,0
2020-01-27,2020,28-Jan,AL,Alabama,0
2020-01-27,2020,28-Jan,AR,Arkansas,0
2020-01-27,2020,28-Jan,AZ,Arizona,0
2020-01-27,2020,28-Jan,CA,California,0
2020-01-27,2020,28-Jan,CO,Colorado,0
2020-01-27,2020,28-Jan,CT,Connecticut,0
2020-01-27,2020,28-Jan,DE,Delaware,0
2020-01-27,2020,28-Jan,FL,Florida,0
2020-01-27,2020,28-Jan,GA,Georgia,0
2020-01-27,2020,28-Jan,HI,Hawaii,0
2020-01-27,2020,28-Jan,IA,Iowa,0
2020-01-27,2020,28-Jan,ID,Idaho,0
2020-01-27,2020,28-Jan,IL,Illinois,0
2020-01-27,2020,28-Jan,IN,Indiana,0
2020-01-27,2020,28-Jan,KS,Kansas,0
2020-01-27,2020,28-Jan,KY,Kentucky,0
2020-01-27,2020,28-Jan,LA,Louisiana,0
2020-01-27,2020,28-Jan,MA,Massachusetts,0
2020-01-27,2020,28-Jan,MD,Maryland,0
2020-01-27,2020,28-Jan,ME,Maine,0
2020-01-27,2020,28-Jan,MI,Michigan,0
2020-01-27,2020,28-Jan,MN,Minnesota,0
2020-01-27,2020,28-Jan,MO,Missouri,0
2020-01-27,2020,28-Jan,MS,Mississippi,0
2020-01-27,2020,28-Jan,MT,Montana,0
2020-01-27,2020,28-Jan,NC,North Carolina,0
2020-01-27,2020,28-Jan,ND,North Dakota,0
2020-01-27,2020,28-Jan,NE,Nebraska,0
2020-01-27,2020,28-Jan,NH,New Hampshire,0
2020-01-27,2020,28-Jan,NJ,New Jersey,0
2020-01-27,2020,28-Jan,NM,New Mexico,0
2020-01-27,2020,28-Jan,NV,Nevada,0
2020-01-27,2020,28-Jan,NY,New York,0
2020-01-27,2020,28-Jan,OH,Ohio,0
2020-01-27,2020,28-Jan,OK,Oklahoma,0
2020-01-27,2020,28-Jan,OR,Oregon,0
2020-01-27,2020,28-Jan,PA,Pennsylvania,0
2020-01-27,2020,28-Jan,RI,Rhode Island,0
2020-01-27,2020,28-Jan,SC,South Carolina,0
2020-01-27,2020,28-Jan,SD,South Dakota,0
2020-01-27,2020,28-Jan,State,State2,0
2020-01-27,2020,28-Jan,TN,Tennessee,0
2020-01-27,2020,28-Jan,TX,Texas,0
2020-01-27,2020,28-Jan,UT,Utah,0
2020-01-27,2020,28-Jan,VA,Virginia,0
2020-01-27,2020,28-Jan,VT,Vermont,0
2020-01-27,2020,28-Jan,WA,Washington,0
2020-01-27,2020,28-Jan,WI,Wisconsin,0
2020-01-27,2020,28-Jan,WV,West Virginia,0
2020-01-27,2020,28-Jan,WY,Wyoming,0
2020-01-27,2020,29-Jan,AK,Alaska,0
2020-01-27,2020,29-Jan,AL,Alabama,0
2020-01-27,2020,29-Jan,AR,Arkansas,0
2020-01-27,2020,29-Jan,AZ,Arizona,0
2020-01-27,2020,29-Jan,CA,California,0
2020-01-27,2020,29-Jan,CO,Colorado,0
2020-01-27,2020,29-Jan,CT,Connecticut,0
2020-01-27,2020,29-Jan,DE,Delaware,0
2020-01-27,2020,29-Jan,FL,Florida,0
2020-01-27,2020,29-Jan,GA,Georgia,0
2020-01-27,2020,29-Jan,HI,Hawaii,0
2020-01-27,2020,29-Jan,IA,Iowa,0
2020-01-27,2020,29-Jan,ID,Idaho,0
2020-01-27,2020,29-Jan,IL,Illinois,0
2020-01-27,2020,29-Jan,IN,Indiana,0
2020-01-27,2020,29-Jan,KS,Kansas,0
2020-01-27,2020,29-Jan,KY,Kentucky,0
2020-01-27,2020,29-Jan,LA,Louisiana,0
2020-01-27,2020,29-Jan,MA,Massachusetts,0
2020-01-27,2020,29-Jan,MD,Maryland,0
2020-01-27,2020,29-Jan,ME,Maine,0
2020-01-27,2020,29-Jan,MI,Michigan,0
