State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Arkansas,AR,18/10/2021,42,2021,3426,72,57.5,0.03426,0.00072,30
Massachusetts,MA,18/10/2021,42,2021,8345,80,79.4,0.08345,0.0008,30
Nevada,NV,18/10/2021,42,2021,4191,92,62.7,0.04191,0.00092,30
Maryland,MD,18/10/2021,42,2021,5687,94,72.5,0.05687,0.00094,30
Wisconsin,WI,18/10/2021,42,2021,12305,97,62.3,0.12305,0.00097,30
Iowa,IA,18/10/2021,42,2021,6195,100,59.2,0.06195,0.001,30
Montana,MT,18/10/2021,42,2021,5475,101,56.3,0.05475,0.00101,30
Oregon,OR,18/10/2021,42,2021,7674,115,68,0.07674,0.00115,30
Missouri,MO,18/10/2021,42,2021,6102,118,56.3,0.06102,0.00118,30
Minnesota,MN,18/10/2021,42,2021,13895,121,64.7,0.13895,0.00121,30
New Jersey,NJ,18/10/2021,42,2021,8321,128,74.3,0.08321,0.00128,30
Louisiana,LA,18/10/2021,42,2021,3399,132,53.5,0.03399,0.00132,30
Oklahoma,OK,18/10/2021,42,2021,5753,144,58.7,0.05753,0.00144,30
Alabama,AL,18/10/2021,42,2021,6163,145,54,0.06163,0.00145,30
