State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Iowa,IA,13/09/2021,37,2021,12940,64,57.5,0.1294,0.00064,25
New Mexico,NM,13/09/2021,37,2021,4745,70,71.7,0.04745,0.0007,25
Wisconsin,WI,13/09/2021,37,2021,19218,87,60.2,0.19218,0.00087,25
Michigan,MI,13/09/2021,37,2021,21843,91,56.3,0.21843,0.00091,25
Massachusetts,MA,13/09/2021,37,2021,13765,92,76.6,0.13765,0.00092,25
Colorado,CO,13/09/2021,37,2021,13709,100,64.8,0.13709,0.001,25
Maryland,MD,13/09/2021,37,2021,8668,107,69.8,0.08668,0.00107,25
Kansas,KS,13/09/2021,37,2021,9616,113,59,0.09616,0.00113,25
New Jersey,NJ,13/09/2021,37,2021,15660,128,71.7,0.1566,0.00128,25
Nevada,NV,13/09/2021,37,2021,7957,146,59.8,0.07957,0.00146,25
New York,NY,13/09/2021,37,2021,23664,152,69.9,0.23664,0.00152,25
Oregon,OR,13/09/2021,37,2021,12563,153,65.9,0.12563,0.00153,25
Mississippi,MS,13/09/2021,37,2021,12383,161,49.3,0.12383,0.00161,25
West Virginia,WV,13/09/2021,37,2021,13468,163,47.8,0.13468,0.00163,25
Idaho,ID,13/09/2021,37,2021,8444,164,46,0.08444,0.00164,25
Missouri,MO,13/09/2021,37,2021,15090,186,54.1,0.1509,0.00186,25
Arkansas,AR,13/09/2021,37,2021,10432,202,55,0.10432,0.00202,25
Oklahoma,OK,13/09/2021,37,2021,13610,214,55.6,0.1361,0.00214,25
Virginia,VA,13/09/2021,37,2021,24909,221,67.4,0.24909,0.00221,25
Pennsylvania,PA,13/09/2021,37,2021,32420,279,71.2,0.3242,0.00279,25
Washington,WA,13/09/2021,37,2021,23097,285,70.3,0.23097,0.00285,25
Arizona,AZ,13/09/2021,37,2021,18511,304,58.5,0.18511,0.00304,25
Indiana,IN,13/09/2021,37,2021,26031,309,51.5,0.26031,0.00309,25
Ohio,OH,13/09/2021,37,2021,48615,317,53.6,0.48615,0.00317,25
Illinois,IL,13/09/2021,37,2021,25711,322,67.6,0.25711,0.00322,25
Louisiana,LA,13/09/2021,37,2021,12577,358,51,0.12577,0.00358,25
Kentucky,KY,13/09/2021,37,2021,29647,395,59.5,0.29647,0.00395,25
South Carolina,SC,13/09/2021,37,2021,30631,423,54.1,0.30631,0.00423,25
Tennessee,TN,13/09/2021,37,2021,45311,449,51.8,0.45311,0.00449,25
Alabama,AL,13/09/2021,37,2021,22427,459,51.7,0.22427,0.00459,25
North Carolina,NC,13/09/2021,37,2021,45276,534,58.2,0.45276,0.00534,25
Georgia,GA,13/09/2021,37,2021,39324,848,54,0.39324,0.00848,25
California,CA,11/10/2021,41,2021,38497,643,73.2,0.38497,0.00643,29
Florida,FL,13/09/2021,37,2021,68177,1909,66,0.68177,0.01909,25
Texas,TX,13/09/2021,37,2021,113600,1985,59.1,1.136,0.01985,25
Vermont,VT,20/09/2021,38,2021,1276,9,77.4,0.01276,0.00009,26
Rhode Island,RI,20/09/2021,38,2021,2195,11,74.8,0.02195,0.00011,26
New Hampshire,NH,20/09/2021,38,2021,3190,16,69.1,0.0319,0.00016,26
North Dakota,ND,20/09/2021,38,2021,3633,18,50.7,0.03633,0.00018,26
Delaware,DE,20/09/2021,38,2021,3219,22,65.9,0.03219,0.00022,26
South Dakota,SD,20/09/2021,38,2021,2823,25,58.7,0.02823,0.00025,26
Maine,ME,20/09/2021,38,2021,3314,25,73.8,0.03314,0.00025,26
Nebraska,NE,20/09/2021,38,2021,4664,36,59.1,0.04664,0.00036,26
Wyoming,WY,20/09/2021,38,2021,3750,37,48,0.0375,0.00037,26
Hawaii,HI,20/09/2021,38,2021,2704,45,76.4,0.02704,0.00045,26
