Week,Year,Week1,Max_Week_Date,Max_Week_Date1,Vax_18_49,Vax_50_79,Vax_80,Unvax_18_49,Unvax_50_79,Unvax_80,Age_adjusted_unvax_IR,Age_adjusted_vax_IR,Average_Vaxxed,Average_Unvaxxed,Index
2021-43,2021,43,2021-10-31,2021-10-25,80.27,72.16,78.02,291.28,291.99,213.75,309.14,83.11,76.82,265.67,31
2021-44,2021,44,2021-11-07,2021-11-01,94.89,74.19,75.65,310.33,306.92,216.87,345.31,90.30,81.58,278.04,32
2021-45,2021,45,2021-11-14,2021-11-08,102.97,80.74,80.15,341.99,350.72,244.19,383.40,97.35,87.95,312.30,33
2021-46,2021,46,2021-11-21,2021-11-15,110.64,87.63,79.26,368.62,407.09,290.67,339.75,86.65,92.51,355.46,34
2021-47,2021,47,2021-11-28,2021-11-22,99.14,78.33,72.67,323.23,380.02,288.96,508.57,128.29,83.38,330.74,35
2021-48,2021,48,2021-12-05,2021-11-29,149.04,109.54,90.39,496.4,545.58,379.19,485.99,103.77,116.32,473.72,36
2021-49,2021,49,2021-12-12,2021-12-06,131.69,92.39,73.88,478.68,595.35,402.84,605.37,191.93,99.32,492.29,37
2021-50,2021,50,2021-12-19,2021-12-13,270.38,121.03,73.68,675.51,649.74,381.64,993.46,436.37,155.03,568.96,38
2021-51,2021,51,2021-12-26,2021-12-20,610.61,254.3,119.6,1223.66,973.36,518.11,2200.97,984.20,328.17,905.04,39
2021-52,2021,52,2022-01-02,2021-12-27,1287.03,685.43,385.38,2652.67,2329.04,1175.28,3101.24,1437.30,785.95,2052.33,40
2022-01,2022,1,2022-01-09,2022-01-03,1742.91,942.25,569.52,3485.82,3299.06,1882.36,2891.49,1205.31,1084.89,2889.08,41
2022-02,2022,2,2022-01-16,2022-01-10,1332.48,814.87,564.6,2988.48,3138.59,1993.64,2225.49,901.84,903.98,2706.90,42
2022-03,2022,3,2022-01-23,2022-01-17,972.08,633.23,498.61,2216.42,2513.03,1749.16,1503.01,558.39,701.31,2159.54,43
2022-04,2022,4,2022-01-30,2022-01-24,586.62,426.24,376.94,1440.2,1832.35,1428.79,850.34,305.94,463.27,1567.11,44
2022-05,2022,5,2022-02-06,2022-01-31,313.47,246.34,255.06,781.81,1094.75,973.28,503.03,180.67,271.62,949.95,45
2022-06,2022,6,2022-02-13,2022-02-07,183.71,151.71,175.52,447.68,675.38,659.76,287.11,101.53,170.31,594.27,46
